STATE,COUNTY,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,V_PCT_65YRS
MO,Webster,16.8,4.7,21682,13.2,15.2,27.2,14.8,6.8,5.6,1.4,2.7,12.2,4,7,2.4,76.9
MT,Carter,13.3,2.1,32001,7.1,25.4,19.5,13.6,3.2,2.7,0,1.2,22.5,1.1,3.5,2,57.8
MT,Powell,12.7,0.9,25060,11.3,19.5,14.7,14.9,8.4,10.3,0.1,0.4,11,3.6,3.2,23.5,71.9
MT,Prairie,11.2,4.7,28087,7.2,28.2,23.5,16,2.4,1.4,0,0,15.2,0,2.2,1.7,55.4
MT,Wibaux,15.8,2.1,23137,12.6,20.9,28.6,13.2,10.9,4.9,1.4,0.8,11.8,0.6,3,2.2,53.2
NE,Box Butte,11.9,5.2,28835,8.3,17.2,25.5,10.7,8.9,18.2,0.5,12.4,5.3,1.5,5.7,1.9,49.1
NE,Dawes,14.4,1.2,26021,4.7,17.7,18.1,11.4,8.3,14.9,0,2.5,10.8,1.3,5.4,11.8,55.7
NE,Greeley,9.5,1.4,26159,6.3,25,23.7,14.7,3.6,3.9,0.2,1.5,2.9,1.5,2.2,1.1,58.1
NE,Nuckolls,12.2,1.4,26735,7.6,26.8,20.3,17,5.5,4.7,1,3,2.4,1,6,1.7,77.2
NE,Seward,7.5,2.1,30694,5.9,16.7,23.5,10.6,6.6,5.3,0.3,6.1,3.2,0.6,3.2,8.3,88.5
NE,Sheridan,18,2.4,27304,9.6,25.1,22.6,18,7.4,18.4,0.6,2.4,10.1,3.2,7.4,2.5,44
NE,Sherman,11.4,1.8,27380,7,26.1,20.5,15.7,5,3.6,0.5,0.3,14.7,0.8,2.2,2,60.1
NE,Valley,10.6,1.7,28587,7.5,24.4,22.6,15.7,5.8,4.9,0.5,5.1,3,1.3,4.6,1.7,48.5
NV,Eureka,7.7,0,34590,6.8,15.5,23.8,18,6.3,11.9,0,0.4,40,1.2,5.6,0.3,47.6
NJ,Monmouth,7.4,5.2,48959,6.8,16.6,21.7,10.1,6.1,24.7,2.7,13.5,1.2,1.5,7,1,80.6
NM,Taos,19.4,8.4,23642,10.9,24.3,18.4,19.1,9.2,64.8,2,2.6,19.2,2,6.3,1.9,77.2
NY,Franklin,18.2,7.1,25491,13.2,15.9,19.6,15.4,11.2,18.3,0.5,2.7,11.3,1.9,9.6,11.5,88.3
NY,Oneida,16.1,5.5,28548,11.4,18,21.3,14.7,10.4,17.6,2.6,6.8,6,1.7,11.2,5.4,82.4
NY,Orange,11.8,4.9,33472,10.3,13.3,25.7,11.9,7.7,35.1,4.3,8.7,2.4,3.7,9.5,2.9,83.6
NY,Schenectady,11.4,6.6,31412,9.7,16.5,21.6,12.9,7.6,26.6,1.4,10.2,0.8,1.1,11.4,3,90.6
NC,Alexander,14.9,6.7,24452,18.4,19.1,20.5,18.2,6.6,13.1,1.5,0.4,31.2,2.9,3.6,3.6,68.1
NC,Avery,14.4,4.3,20253,17.7,21.1,15.5,19.9,5,12.6,1.2,8.3,15.8,1.7,3.9,19.1,77.5
NC,Beaufort,19.2,8.9,26233,12.4,22.9,20.7,18.8,7.7,34.2,1.1,2.3,26.9,0.8,7.7,1,80
NC,Camden,11.2,9.3,26951,14.4,17.1,23.8,13.6,8.3,19.6,0.7,1.7,15.7,0.7,1.9,0.3,56.4
NC,Guilford,15.9,6,29708,10.9,14.5,22.5,11.1,10.8,49.1,2.8,13.9,3.1,2.3,6.4,3.6,83
NC,Perquimans,15.5,6.7,25809,13.5,26.6,19.2,15.4,5.9,27.9,1,1.5,22.2,1.3,6.8,0.7,40.3
NC,Polk,9.5,5.2,30344,9.1,29.4,16.8,18.4,4.5,14.2,0.7,5.1,15,2.5,6,1.6,57.1
NC,Swain,17.3,6.9,20984,21.7,19.2,22.4,18.6,7.7,37.8,0.3,0.5,27.4,2.6,5.3,2,81.2
ND,Burke,6.6,1.8,35806,6.9,15.4,30.2,7.7,4.9,6.2,0,1,7.4,2.2,4.2,0.2,70.2
ND,Divide,13.7,0.7,45190,5.8,26.8,16.8,14.2,4.2,8.3,0,3.4,4.7,0,3.1,4.4,59.1
ND,Stutsman,11.8,3.3,32001,8.9,18.3,20.2,14.2,7.2,7.5,0.2,13.1,7.7,0.9,8.2,7.9,74.3
OH,Jackson,19.6,10.5,22117,15.5,16.4,24.2,18.5,11.5,4,0.3,2.9,17.3,2.4,7.8,1.1,76.7
OH,Pickaway,11.7,4.1,26515,12.8,15.1,21.8,15.4,9,7.2,0.4,1.8,7.4,1.7,4.3,8.2,80.8
OH,Pike,19.4,8.4,22301,19,17.4,23.5,24.1,9,4.7,0.2,2.5,25.1,1.9,9,1.6,71.4
OK,Coal,22.9,6.5,24399,16.6,20.2,24.8,23.1,9.8,31.2,0.4,0.5,11.1,2.6,8.4,1.2,64.2
OK,Delaware,19,7.5,22976,16.1,24.2,20.7,23.4,6.8,36,0.8,1.4,26.5,2.8,4.5,1.1,54.2
OK,Kingfisher,11.4,5.1,32049,13,15.2,27.1,15.3,9.3,23.3,2.8,0.7,14.8,2.2,2.8,1.1,74.4
OK,Le Flore,21.7,6,20656,17.5,17.5,24,22.5,10.1,28.3,2.1,1.7,16.4,2.5,5.5,2.7,67.4
OR,Jefferson,19.9,10,22492,14,18.5,23.6,17.6,8.9,39.8,2,2.1,21,4.4,3.9,4.3,81.1
OR,Lane,18.5,7.1,28070,8.6,18.3,18.8,16.9,8.1,17.9,1.1,11.6,8.5,2.5,8.4,2.1,87.9
OR,Wallowa,14.8,4.5,28960,7.5,27.8,18.5,20.4,7.5,6.9,0.8,3.7,15.2,2.9,6.7,1.9,80.7
PA,Berks,12.8,6.7,30187,13.5,16.6,22.6,13.5,9.9,27.5,4.4,6.3,2.9,1.5,8.3,3.2,86.8
PA,Cameron,14.3,3.6,25898,9,26.2,16.6,18.7,8,3.8,0.1,2.9,12.9,0.6,9.8,1.8,85.2
PA,Dauphin,12.7,5,32485,10.3,16.1,22.5,12.9,9.8,33.6,2.2,9.9,2.6,1.4,10.1,2.6,92.6
PA,Sullivan,13.4,8,28665,10.3,27,11.7,19.2,5.7,7.1,0.4,1.7,11.5,0.3,5.9,7.5,67.7
PA,Union,11.3,3.7,25606,13.6,17.2,17.9,12.8,6.3,15.8,0.6,4.1,6.9,1.8,8.3,20.8,89.7
RI,Kent,8,5.4,38039,8.4,18.1,19.1,15.6,6.6,11,1.1,14,1.6,1.4,5.9,0.9,97
SC,Calhoun,18.4,6.4,25953,14.3,21.6,19.7,17.6,6,46.2,0.3,0.2,31.8,1.5,8.5,1.2,50.6
