STATE,COUNTY,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,V_PCT_65YRS
NJ,Cape May,11.1,7.7,38496,8.8,25.2,17.7,14.1,5.7,14.5,1.3,5.8,3.3,1.4,7.6,2.7,86
NJ,Morris,4.6,4.7,55826,5.7,16.3,21.7,8.4,5,28.2,3.6,14.6,0.2,1.6,4.7,1.8,87.3
NJ,Somerset,4.7,4.5,54393,5.3,14.8,22.6,8,5.4,42.7,3.3,11.7,0.2,1.3,4.8,1.3,82.2
NM,Lincoln,16.2,4.3,26534,8.5,27.7,18.5,18.5,4.5,37.5,3.8,2.9,19.4,2.5,3.2,1,47.7
NM,Sandoval,14.3,7.7,27549,10.3,16.4,23.9,13.2,8.3,56,1.8,2.6,8.9,3,2.9,0.7,84.7
NM,Union,14.1,1.5,23968,20,19.4,18.9,21,8.5,48.7,3.9,0,14.7,0.7,8.5,15.3,24.1
NY,Allegany,17,6.1,23030,10,18,20.4,16,8.9,5.6,0.5,2.2,16.4,1.3,9.1,10.5,62.9
NY,Broome,17,6.6,27744,9.5,18.3,19.5,15.6,8.4,16.2,1.4,8.1,4.5,1.5,12.1,5.3,84.2
NY,Cattaraugus,16.5,6.3,24628,11.5,18.2,22.4,15.8,9.3,9.3,0.8,3.7,13.5,1.9,11.3,3.4,77.7
NY,Cayuga,11.7,5.4,29022,12.3,17.8,20.1,14.8,10.9,9.7,0.5,6.3,10.4,1,10.6,5.6,77
NY,Chautauqua,18.7,6.9,24825,11.1,19,20.6,15.5,9.4,12.4,1.4,4.7,6.7,1.5,11.3,4.6,78.8
NY,Chemung,14.8,5,28115,9.7,17.9,21.8,15.4,10.6,13.6,0.3,5.6,5.4,0.8,11.2,5.5,79.1
NY,Clinton,15.3,4.8,26772,12.1,15.9,18,15.8,9.2,10,0.7,5.6,13.4,1.2,9.3,9.5,93.3
NY,Erie,14.5,4.8,32347,8.6,17.2,20.5,13.2,9.1,24.2,1.8,8,1.4,1.2,13.3,3,84.3
NY,Herkimer,14.6,7.2,26151,10.1,19.6,20.9,15.7,8.5,5.4,0.6,4.3,9.5,1.7,10,2,80.2
NY,Livingston,13.6,4.2,27073,10.3,16.8,18.1,13,8.3,9.1,0.5,4,10.6,1.5,7.8,10,86.6
NY,Monroe,14.7,5.9,32502,9.7,16.3,21.1,13.6,10.1,29.2,2.5,10,0.8,1.2,11.3,3.6,89.4
NY,Montgomery,19.9,7.7,25427,14.2,18.1,22.8,16.4,11.1,18.1,1.8,3.8,6.8,1.9,13.6,2.1,97.4
NY,Nassau,5.7,4.3,49211,8.8,17.1,21.8,8.3,5.6,39.2,5.4,10.6,0.2,2.6,7,1.5,90.7
NY,Otsego,15.4,6.4,27680,8.8,20,16.4,13.9,6.8,8.7,0.6,2.2,11.9,1.7,8.8,9.3,79.7
NY,St. Lawrence,17.7,7.4,24473,11.3,16.3,20.5,16.1,10.4,8,1,4.6,11.1,1.9,9.7,10.9,82.7
NY,Seneca,12.4,3.5,27366,14.6,18.3,20,17,8.3,10.8,0.7,2.2,13.5,0.9,8.1,9.1,74.8
NY,Sullivan,14.7,7.7,29292,13.8,18,21.3,16.4,10.1,28.1,2.2,2.8,9.7,2.5,10.2,5.2,75.7
NY,Yates,11.4,4.7,27512,13.8,19.5,22.6,12.5,6.4,5.3,0.7,2.5,10.3,2.1,12.8,5,79.1
NC,Brunswick,12.9,6.3,31204,9.6,29.3,16.3,17.5,5.7,18.2,0.9,4.3,22.4,1.8,4,0.7,79.9
NC,Caswell,19.6,6.8,22982,20.5,20.2,19,18.3,5.9,38.8,1,1.4,26.9,1.9,9.8,4.6,76.7
NC,Cherokee,16.5,6.4,22754,13.7,28.3,17.2,20.6,4.3,8.7,0.6,0.2,20,2.1,4.8,1.6,80.9
NC,Clay,15.8,2.3,26590,11.5,29.3,17.5,18.4,3.4,6.3,0.4,1.6,19.7,0.7,6.9,0.4,58.9
NC,Cleveland,20.2,9.2,21920,16,17.9,22.1,16.2,9.8,27,0.5,3,19.3,2.1,7.8,1.7,74.4
